seed,user_pnl,arb_profit,lp_profit_value,total_volume,lp_profit_per_1m_vol,arb_trade_count,intervention_rate,avg_spread_pct,max_spread_pct,rmse_price,impermanent_loss_pct,total_compute_units,avg_cu_per_swap,total_swaps,successful_swaps
100,-1496624.3035,825412.6317,730554.8677,142198211.3013,5137.5813,1999,0.015593,6.874141,19.941917,0.047570,-11.306763,3933538397,30683.31,128198,128198
1000,-1388759.2239,624111.1672,683722.9387,136558133.0519,5006.8269,1999,0.015658,6.497123,19.578875,0.045197,-10.831122,3917203119,30683.21,127666,127666
1001,-1404842.4217,624370.7620,693395.4719,139023436.4456,4987.6157,1999,0.015584,6.551691,19.642230,0.045385,-10.994249,3935833941,30683.26,128273,128273
1002,-1489378.4129,597739.0493,696761.6549,141476613.3662,4924.9246,1999,0.015613,6.830995,21.683501,0.047078,-11.244067,3928514707,30684.09,128031,128031
1003,-1446829.6070,490024.0638,675623.2703,139465285.4383,4844.3831,1999,0.015614,6.674267,18.464855,0.046127,-11.070592,3928292477,30683.31,128027,128027
1004,-1524478.8810,800945.7672,734272.0333,144101945.2731,5095.5040,1999,0.015591,6.886452,19.977671,0.047962,-11.453859,3933960912,30683.49,128211,128211
1005,-1460761.5681,695963.5525,706797.5264,140611354.7509,5026.6035,1999,0.015638,6.708448,19.829923,0.046671,-11.150660,3922324210,30683.43,127832,127832
1006,-1472339.6020,677378.6710,705732.4933,140832677.4796,5011.1416,1999,0.015574,6.752991,22.605120,0.046852,-11.190563,3938424481,30683.60,128356,128356
1007,-1509297.6496,792881.4298,734210.8158,144082009.6852,5095.7841,1999,0.015605,6.868262,23.888626,0.047624,-11.439541,3930578022,30684.15,128098,128098
1008,-1453211.0351,877397.1011,738903.9302,141994624.8135,5203.7458,1999,0.015611,6.733476,19.252301,0.046564,-11.245871,3929010780,30684.13,128047,128047
1009,-1474321.5372,452758.2959,670840.3201,139850953.2345,4796.8234,1999,0.015571,6.760160,19.271989,0.046643,-11.122808,3939156715,30683.81,128379,128379
101,-1466718.4007,881753.0223,731361.8376,140280231.1248,5213.5774,1999,0.015674,6.782490,23.792337,0.047106,-11.158892,3913309966,30683.48,127538,127538
1010,-1440539.6885,852576.6438,729105.9281,140694273.3792,5182.2005,1999,0.015600,6.694253,19.706145,0.046340,-11.133124,3931795170,30683.35,128141,128141
1011,-1438624.4852,557407.9837,684056.6442,139241599.8125,4912.7319,1999,0.015563,6.656149,23.118382,0.046095,-11.049864,3941022050,30683.28,128442,128442
1012,-1437868.4265,736143.3075,714903.9139,140837426.6824,5076.0933,1999,0.015635,6.627128,20.052726,0.046082,-11.146234,3923124715,30683.93,127856,127856
1013,-1490652.5231,750353.7070,719389.0631,142075471.4069,5063.4290,1999,0.015606,6.828190,21.090725,0.047269,-11.278651,3930391754,30683.89,128093,128093
1014,-1545735.0912,769985.6453,740321.4294,146307042.5336,5060.0533,1999,0.015648,6.952942,20.717287,0.048155,-11.632663,3919993547,30684.64,127751,127751
1015,-1447882.5643,882776.8610,730877.5365,139992341.5416,5220.8394,1999,0.015638,6.718692,22.956224,0.046576,-11.115614,3922154867,30683.55,127826,127826
1016,-1483141.4599,814522.1810,734942.7547,143310868.8733,5128.3113,1999,0.015554,6.810581,19.286376,0.047037,-11.362166,3943473019,30683.49,128521,128521
1017,-1448588.0293,900208.8519,726427.4278,138737757.0363,5235.9750,1999,0.015653,6.696521,23.975995,0.046845,-11.024153,3918405228,30683.26,127705,127705
1018,-1440987.1517,778934.9511,715787.7789,140075711.5883,5110.0064,1999,0.015604,6.667244,23.039148,0.046322,-11.086096,3930787708,30683.63,128107,128107
1019,-1435600.6233,587403.3953,692114.8976,140181230.1294,4937.2865,1999,0.015576,6.649029,19.629578,0.046008,-11.100839,3937990367,30683.81,128341,128341
102,-1411004.8276,804829.9422,710896.5886,137585779.2366,5166.9336,1999,0.015571,6.617867,20.438866,0.045953,-10.916547,3938978390,30682.90,128377,128377
1020,-1517086.4440,816107.7305,746780.3229,146396230.9514,5101.0898,1999,0.015652,6.832318,18.540440,0.047690,-11.584788,3918821802,30684.60,127713,127713
1021,-1382259.0367,594298.1517,681848.2102,137170628.7304,4970.8033,1999,0.015637,6.463780,19.714148,0.044919,-10.848476,3922410101,30683.62,127834,127834
1022,-1426881.0997,624373.7385,692838.6688,138959041.0241,4985.9201,1999,0.015602,6.585575,23.712679,0.045827,-11.026589,3931351570,30683.48,128126,128126
1023,-1423320.6826,797713.6768,720310.3670,139815828.8600,5151.8514,1999,0.015623,6.611551,21.566630,0.045790,-11.080850,3926124107,30683.63,127955,127955
1024,-1507881.5755,762113.1727,723220.0283,142738737.2219,5066.7397,1999,0.015594,6.847026,24.814285,0.047631,-11.341814,3933531407,30684.21,128194,128194
1025,-1399047.4076,704548.6980,700114.0367,138081072.3588,5070.3114,1999,0.015626,6.529345,18.870199,0.045483,-10.929561,3925180041,30683.21,127926,127926
1026,-1474273.5455,709693.6263,718706.3638,142781574.4825,5033.6072,1999,0.015616,6.783621,22.221904,0.046716,-11.313919,3927721030,30683.88,128006,128006
1027,-1399705.3901,754384.1219,707739.4158,138454441.6970,5111.7133,1999,0.015605,6.522870,20.066530,0.045378,-10.944228,3930596437,30683.33,128102,128102
1028,-1519958.6676,849395.3668,744847.7764,144843569.3537,5142.4290,1999,0.015601,6.863936,21.843220,0.047726,-11.501473,3931636025,30684.50,128131,128131
1029,-1504556.0628,555165.4658,695315.6336,142673931.7579,4873.4595,1999,0.015640,6.813429,25.500043,0.047323,-11.329748,3921667841,30683.58,127810,127810
103,-1363100.0985,870665.8041,709732.1684,134936400.6533,5259.7532,1999,0.015599,6.496982,17.257052,0.045021,-10.691559,3931845526,30682.31,128147,128147
