seed,user_pnl,arb_profit,lp_profit_value,total_volume,lp_profit_per_1m_vol,arb_trade_count,intervention_rate,avg_spread_pct,max_spread_pct,rmse_price,impermanent_loss_pct,total_compute_units,avg_cu_per_swap,total_swaps,successful_swaps
100,-1371374.0463,0.0000,1371374.0463,151374128.2049,9059.5009,0,0.000000,10.860438,31.092755,0.162452,-21.427719,7515472894,58623.95,128198,128198
1000,-1272805.4504,0.0000,1272805.4504,144223853.5014,8825.2076,0,0.000000,10.417134,46.653410,0.128506,-19.887585,7488821310,58659.48,127666,127666
1001,-1302075.4634,0.0000,1302075.4634,146554635.6357,8884.5737,0,0.000000,10.620633,33.197710,0.130632,-20.344929,7511680508,58560.11,128273,128273
1002,-1361525.7194,0.0000,1361525.7194,151195327.8636,9005.0780,0,0.000000,10.782227,34.299614,0.187275,-21.273839,7513188750,58682.57,128031,128031
1003,-1323231.6526,0.0000,1323231.6526,147237147.8945,8987.0775,0,0.000000,10.803975,32.477684,0.119481,-20.675495,7499304656,58575.96,128027,128027
1004,-1403414.1031,0.0000,1403414.1031,154121441.8426,9105.8978,0,0.000000,11.260471,36.485606,0.169303,-21.928345,7518096763,58638.47,128211,128211
1005,-1344477.3912,0.0000,1344477.3912,148792843.1716,9035.9009,0,0.000000,10.816145,31.908050,0.126234,-21.007459,7494893236,58630.81,127832,127832
1006,-1346208.0844,0.0000,1346208.0844,150400971.3880,8950.7938,0,0.000000,10.674195,42.896716,0.213373,-21.034501,7537751694,58725.36,128356,128356
1007,-1376868.6089,0.0000,1376868.6089,153356332.8040,8978.2312,0,0.000000,11.013838,37.532316,0.135511,-21.513572,7520538231,58709.26,128098,128098
1008,-1332256.7678,0.0000,1332256.7678,149779408.1370,8894.7926,0,0.000000,10.633157,31.205109,0.096064,-20.816512,7513563054,58678.17,128047,128047
1009,-1340332.1680,0.0000,1340332.1680,148713868.4043,9012.8257,0,0.000000,10.641057,51.303790,0.129660,-20.942690,7529139006,58647.75,128379,128379
101,-1347226.8310,0.0000,1347226.8310,149232536.4963,9027.7018,0,0.000000,10.737976,35.468758,0.137741,-21.050419,7472961891,58594.00,127538,127538
1010,-1322111.1624,0.0000,1322111.1624,149487247.6696,8844.3073,0,0.000000,10.487854,33.353609,0.159221,-20.657987,7526231942,58733.99,128141,128141
1011,-1311808.6969,0.0000,1311808.6969,147586813.6484,8888.3869,0,0.000000,10.531652,32.154560,0.113425,-20.497011,7542066944,58719.63,128442,128442
1012,-1318377.3816,0.0000,1318377.3816,150097516.2123,8783.4723,0,0.000000,10.634141,28.937320,0.175897,-20.599647,7518966638,58808.09,127856,127856
1013,-1351745.5586,0.0000,1351745.5586,151318152.8312,8933.1355,0,0.000000,10.487400,31.487173,0.103059,-21.121024,7523250816,58732.72,128093,128093
1014,-1422396.3626,0.0000,1422396.3626,155914004.7538,9122.9544,0,0.000000,11.102792,33.418433,0.171816,-22.224943,7489835400,58628.39,127751,127751
1015,-1320420.8060,0.0000,1320420.8060,149423661.0033,8836.7585,0,0.000000,10.541155,30.514246,0.145175,-20.631575,7503585946,58701.56,127826,127826
1016,-1366069.1958,0.0000,1366069.1958,150893567.6990,9053.1970,0,0.000000,10.948676,37.650623,0.119468,-21.344831,7535075354,58629.14,128521,128521
1017,-1335211.5629,0.0000,1335211.5629,147481531.8313,9053.4153,0,0.000000,10.793822,34.101462,0.175985,-20.862681,7501814915,58743.31,127705,127705
1018,-1326041.2526,0.0000,1326041.2526,148459220.5368,8932.0235,0,0.000000,10.563506,32.187275,0.171988,-20.719395,7510009129,58622.94,128107,128107
1019,-1316099.5626,0.0000,1316099.5626,148096365.7972,8886.7783,0,0.000000,10.577680,29.947932,0.129149,-20.564056,7545494800,58792.55,128341,128341
102,-1311410.3116,0.0000,1311410.3116,145531984.0306,9011.1484,0,0.000000,10.967278,33.082092,0.149196,-20.490786,7516744142,58552.11,128377,128377
1020,-1399016.7632,0.0000,1399016.7632,155179038.7038,9015.5009,0,0.000000,11.150980,28.102580,0.146682,-21.859637,7491121781,58655.91,127713,127713
