seed,user_pnl,arb_profit,lp_profit_value,total_volume,lp_profit_per_1m_vol,arb_trade_count,intervention_rate,avg_spread_pct,max_spread_pct,rmse_price,impermanent_loss_pct,total_compute_units,avg_cu_per_swap,total_swaps,successful_swaps
100,-5215071.6888,1255575.0199,4027635.5586,582302782.2859,6916.7376,1999,0.003894,10.953903,36.855018,0.076330,-62.773639,31091541194,60570.10,513315,513315
1000,-5354098.9577,1188696.5533,4072453.4501,588240772.9504,6923.1064,1999,0.003910,11.239075,39.240856,0.077429,-63.850814,30953698453,60546.55,511238,511238
1001,-5246654.9773,1155433.4757,3991543.8899,582968261.0080,6846.9317,1999,0.003898,11.054723,37.633271,0.076459,-62.602186,31056537559,60554.52,512869,512869
1002,-5454026.0337,1124604.8090,4103964.0587,596345775.4110,6881.8532,1999,0.003910,11.227121,41.871798,0.077924,-64.653083,30968854367,60570.39,511287,511287
1003,-5400586.4118,1036132.8344,4040508.3121,590429132.5366,6843.3417,1999,0.003908,11.208130,43.333399,0.077472,-63.891349,30979885633,60559.51,511561,511561
1004,-5366749.5951,1280183.7485,4098769.2526,592077762.3557,6922.6874,1998,0.003899,11.163097,35.753340,0.077581,-64.015101,31043992706,60580.85,512439,512439
1005,-5556376.7889,1239484.2058,4249989.0617,608740130.9744,6981.6147,1999,0.003913,11.442115,45.409135,0.078638,-66.566348,30932985354,60554.96,510825,510825
1006,-5211466.4265,1169186.2236,3939570.8015,575736965.2708,6842.6574,1999,0.003897,10.926881,44.143236,0.076312,-61.793693,31076572417,60584.96,512942,512942
1007,-5407765.5057,1291784.0922,4136573.9156,595300146.2799,6948.7198,1999,0.003902,11.233183,38.773045,0.077867,-64.585963,31029667528,60572.88,512270,512270
1008,-5308106.5489,1358524.2273,4137226.9508,588870389.3273,7025.7004,1999,0.003901,11.097122,35.059210,0.077354,-64.202097,31033580427,60564.55,512405,512405
1009,-5327532.2808,921537.0618,4002253.4542,587096501.5292,6817.0283,1999,0.003902,11.092295,40.338789,0.076405,-63.478111,31026848640,60568.79,512258,512258
101,-5259383.1490,1383870.3470,4043843.7839,575484007.6106,7026.8569,1999,0.003908,11.132261,39.098643,0.077704,-62.791642,30981887945,60562.48,511569,511569
1010,-5340193.3972,1382022.7765,4120758.2563,593478753.4864,6943.3964,1999,0.003904,11.153560,34.267191,0.077372,-64.004399,31019267793,60575.52,512076,512076
1011,-5438968.2380,1118694.2975,4092761.7153,595003399.1520,6878.5518,1999,0.003905,11.207433,34.644081,0.077845,-64.484817,31004701012,60566.23,511914,511914
1012,-5280239.4447,1246391.5971,4048693.8296,585398569.3343,6916.1321,1999,0.003907,11.158190,37.397763,0.076830,-63.225390,30993680786,60581.74,511601,511601
1013,-5401018.6716,1249351.5015,4127752.4838,593596929.3140,6953.7969,1999,0.003905,11.158689,42.050508,0.077859,-64.552617,31011811001,60581.42,511903,511903
1014,-5484941.6516,1271978.9210,4171412.3034,603954957.0654,6906.8268,1999,0.003898,11.208921,40.955508,0.078153,-65.274760,31065507025,60576.85,512828,512828
1015,-5343093.6918,1413829.3921,4119984.6322,586064086.9898,7029.9217,1999,0.003909,11.240229,35.574883,0.077695,-63.925765,30977447409,60572.75,511409,511409
1016,-5468435.0260,1351068.2695,4192883.6390,603149677.9220,6951.6470,1999,0.003897,11.260124,39.625834,0.078105,-65.333698,31058993812,60553.88,512915,512915
1017,-5263841.6064,1407576.4240,4061028.7928,588618191.4855,6899.2580,1999,0.003905,10.988258,35.951802,0.076990,-62.974628,31012208122,60574.98,511964,511964
