seed,user_pnl,arb_profit,lp_profit_value,total_volume,lp_profit_per_1m_vol,arb_trade_count,intervention_rate,avg_spread_pct,max_spread_pct,rmse_price,impermanent_loss_pct,total_compute_units,avg_cu_per_swap,total_swaps,successful_swaps
100,-175845.2521,0.0000,175845.2521,41789372.8548,4207.8940,0,0.000000,38.964853,73.941523,0.221905,-2.747582,977290211,30686.08,31848,31848
1000,-167766.8455,0.0000,167766.8455,40633536.1315,4128.7779,0,0.000000,30.319573,60.147290,0.176168,-2.621357,979807852,30686.12,31930,31930
1001,-161970.7954,0.0000,161970.7954,39661282.1743,4083.8517,0,0.000000,32.401888,69.937516,0.191322,-2.530794,981238896,30684.81,31978,31978
1002,-179754.7538,0.0000,179754.7538,43209995.5438,4160.0271,0,0.000000,42.281735,90.778142,0.242983,-2.808668,978318318,30686.56,31881,31881
1003,-170782.8269,0.0000,170782.8269,42366978.8252,4031.0362,0,0.000000,33.275506,69.021397,0.204029,-2.668482,982079659,30685.19,32005,32005
1004,-199661.6304,0.0000,199661.6304,48080895.3754,4152.6188,0,0.000000,39.877232,92.840320,0.243229,-3.119713,983992249,30688.38,32064,32064
1005,-181762.3438,0.0000,181762.3438,43479576.7047,4180.4074,0,0.000000,41.975074,103.023156,0.236899,-2.840037,976174947,30686.71,31811,31811
1006,-198334.3851,0.0000,198334.3851,48332648.0260,4103.5282,0,0.000000,34.356968,76.036992,0.211945,-3.098975,987734664,30688.33,32186,32186
1007,-193332.2608,0.0000,193332.2608,45976277.8638,4205.0438,0,0.000000,37.500998,69.766910,0.210402,-3.020817,986795436,30687.75,32156,32156
1008,-173470.5133,0.0000,173470.5133,42000280.0026,4130.2228,0,0.000000,37.978460,95.214552,0.226260,-2.710477,979748523,30686.19,31928,31928
1009,-177934.4229,0.0000,177934.4229,42362666.7463,4200.2649,0,0.000000,38.650096,82.957281,0.234200,-2.780225,983050003,30686.75,32035,32035
101,-180659.5382,0.0000,180659.5382,42344842.3414,4266.3883,0,0.000000,36.120340,89.157284,0.212402,-2.822805,979318515,30687.13,31913,31913
1010,-190386.5280,0.0000,190386.5280,44581006.6868,4270.5749,0,0.000000,39.705545,78.025320,0.244134,-2.974790,982603315,30687.17,32020,32020
1011,-185886.5159,0.0000,185886.5159,44754974.4626,4153.4269,0,0.000000,37.327759,81.866232,0.223466,-2.904477,987212736,30687.37,32170,32170
1012,-216492.4444,0.0000,216492.4444,48595919.6049,4454.9511,0,0.000000,37.422348,73.468007,0.226265,-3.382694,977858126,30688.49,31864,31864
1013,-180612.5139,0.0000,180612.5139,44578201.1269,4051.5882,0,0.000000,37.222155,80.776224,0.221489,-2.822071,987749091,30686.87,32188,32188
1014,-194271.5837,0.0000,194271.5837,43781250.0609,4437.3238,0,0.000000,32.421594,72.782927,0.216912,-3.035493,979492329,30686.81,31919,31919
1015,-197244.8447,0.0000,197244.8447,46824754.1457,4212.4053,0,0.000000,41.648089,118.800177,0.232247,-3.081951,980799413,30688.34,31960,31960
1016,-177588.6249,0.0000,177588.6249,42303567.6379,4197.9586,0,0.000000,33.802406,76.161876,0.205847,-2.774822,989565666,30686.11,32248,32248
1017,-193101.0551,0.0000,193101.0551,47537565.2693,4062.0729,0,0.000000,38.625974,83.409990,0.231874,-3.017204,974246651,30687.83,31747,31747
1018,-171938.1645,0.0000,171938.1645,40478723.3181,4247.6183,0,0.000000,39.197474,84.292684,0.228673,-2.686534,983281172,30684.39,32045,32045
1019,-189821.0574,0.0000,189821.0574,45247457.4953,4195.1762,0,0.000000,40.539445,84.175474,0.252179,-2.965954,979280875,30686.92,31912,31912
102,-161975.0534,0.0000,161975.0534,39447518.5447,4106.0898,0,0.000000,40.888526,75.076184,0.235045,-2.530860,980506238,30684.93,31954,31954
1020,-179379.1799,0.0000,179379.1799,42812007.3272,4189.9269,0,0.000000,34.614546,70.847234,0.200554,-2.802800,976053902,30686.76,31807,31807
1021,-169785.4863,0.0000,169785.4863,41155673.6245,4125.4454,0,0.000000,35.469528,78.073398,0.213001,-2.652898,979509172,30685.42,31921,31921
1022,-185840.0999,0.0000,185840.0999,43623997.3378,4260.0429,0,0.000000,37.711272,81.647061,0.216640,-2.903752,980160972,30686.61,31941,31941
1023,-174830.5328,0.0000,174830.5328,40420259.2618,4325.3194,0,0.000000,35.072800,70.976135,0.225351,-2.731727,983545721,30684.98,32053,32053
1024,-189638.6076,0.0000,189638.6076,45506353.4195,4167.2996,0,0.000000,37.005357,72.543573,0.245000,-2.963103,978554779,30687.24,31888,31888
1025,-187364.6203,0.0000,187364.6203,46088155.8895,4065.3529,0,0.000000,39.393176,89.289619,0.218485,-2.927572,986411315,30688.22,32143,32143
1026,-172145.9648,0.0000,172145.9648,42531172.1395,4047.5246,0,0.000000,38.935515,86.443636,0.234129,-2.689781,978158857,30686.37,31876,31876
1027,-180426.9846,0.0000,180426.9846,44654289.4781,4040.5297,0,0.000000,39.460394,93.291646,0.231727,-2.819172,976549988,30686.92,31823,31823
1028,-198816.8856,0.0000,198816.8856,47123194.3716,4219.0876,0,0.000000,39.342345,108.650932,0.231156,-3.106514,980268388,30688.05,31943,31943
1029,-189995.5333,0.0000,189995.5333,45784654.3816,4149.7645,0,0.000000,36.049896,65.092271,0.213607,-2.968680,978564613,30687.55,31888,31888
103,-183190.6861,0.0000,183190.6861,44057622.1765,4157.9794,0,0.000000,33.580895,65.796718,0.216692,-2.862354,980725499,30686.99,31959,31959
1030,-198219.0088,0.0000,198219.0088,45825398.7264,4325.5272,0,0.000000,41.364730,73.917561,0.250580,-3.097172,987761503,30687.26,32188,32188
1031,-175634.8676,0.0000,175634.8676,43124453.5523,4072.7442,0,0.000000,38.833949,86.278725,0.246013,-2.744295,982019456,30687.15,32001,32001
1032,-180741.2467,0.0000,180741.2467,42753026.7166,4227.5661,0,0.000000,37.851493,84.084415,0.221231,-2.824082,982297598,30686.25,32011,32011
1033,-184939.5479,0.0000,184939.5479,44006113.3106,4202.5876,0,0.000000,37.021449,81.921881,0.215631,-2.889680,982661555,30687.08,32022,32022
1034,-161066.6218,0.0000,161066.6218,39086508.1955,4120.7729,0,0.000000,35.967165,76.947690,0.209921,-2.516666,979536473,30685.31,31922,31922
1035,-174816.5398,0.0000,174816.5398,42830006.8863,4081.6370,0,0.000000,40.686519,104.706878,0.224694,-2.731508,982110829,30686.17,32005,32005
1036,-186603.2707,0.0000,186603.2707,45162158.5889,4131.8501,0,0.000000,46.536769,95.011198,0.255887,-2.915676,976064164,30687.09,31807,31807
